Date,Open,High,Low,Close,Adj Close,Volume
11/16/2015,38416.5,38599.89844,37800,38017.80078,37778.76953,6267
11/17/2015,38240,39949,38134.39844,39530.10156,39281.57813,11203
11/18/2015,39539,39881.39844,38800.10156,38932.10156,38687.33594,7357
11/19/2015,39147,39599,39100,39333.10156,39085.80469,4342
11/20/2015,39349.89844,39549,39000,39381.89844,39134.30469,3635
11/23/2015,39101,39690,39073.39844,39174.39844,38928.10547,2475
11/24/2015,39100,39459.80078,38852,38953.60156,38708.69141,3021
11/26/2015,39200,39299.89844,38491.19922,38664.69922,38421.61328,26495
11/27/2015,38860.5,39740,38860.5,39430.80078,39182.89063,7565
11/30/2015,39333,39642.80078,38810,38850,38605.74609,5873
12/1/2015,39090,39479.39844,38600,39237.39844,38990.70703,4465
12/2/2015,39338,39800.10156,39113.10156,39281.80078,39034.82813,3409
12/3/2015,39100,39319.60156,39000,39151.30078,38905.14844,2946
12/4/2015,39149,39775,38919.10156,39630.80078,39381.63672,6412
12/7/2015,39602.5,39725,39105,39171.10156,38924.82422,3059
12/8/2015,39052.10156,39687,39052.10156,39215.10156,38968.55469,2503
12/9/2015,39205,39342.39844,38832,39045.60156,38800.11719,4418
12/10/2015,39045,39575,39014,39443,39195.01563,2852
12/11/2015,39302,39985,39154.5,39414.39844,39166.59375,5430
12/14/2015,39100,39400,38178.10156,38602.60156,38359.89844,6606
12/15/2015,38941.89844,38999.89844,38600,38790.60156,38546.72266,2466
12/16/2015,38880,39226.10156,38613.39844,38732.60156,38489.08594,3405
12/17/2015,38840,39299,38702.19922,39143.89844,38897.79297,3322
12/18/2015,39140,39399.89844,38960.30078,39162.89844,38916.67969,4519
12/21/2015,38987,39328.39844,38987,39213,38966.46484,1704
12/22/2015,39213,39705.39844,39101,39175.30078,38929.00391,3321
12/23/2015,39200,39599.89844,39200,39287.89844,39040.88672,1729
12/24/2015,39107,39650,39107,39539.60156,39291.00391,2232
12/28/2015,39585,39986,39585,39659.80078,39410.46484,3026
12/29/2015,39700,39961.19922,39656.10156,39784.89844,39534.76563,2639
12/30/2015,39799.89844,39932,39681.19922,39792.39844,39542.22656,2992
12/31/2015,39941,40058.80078,39403.10156,39877.5,39626.78516,4678
1/1/2016,40092.39844,41424.60156,39877.10156,40552.10156,40297.15234,6316
1/4/2016,40400,40748,40248.60156,40505.89844,40251.23828,2921
1/5/2016,40600,40688,40321.80078,40593.19922,40337.98828,1951
1/6/2016,40643,41200.10156,40297.60156,40419.19922,40165.08203,4594
1/7/2016,40249,40249,39001,39066.19922,38820.58203,4983
1/8/2016,39155,39470.89844,38510.10156,38638.60156,38395.67969,4941
1/11/2016,38580,39154.5,38066,38978.60156,38733.53906,2933
1/12/2016,39041,39233.60156,38700,38875.89844,38631.47656,2333
1/13/2016,39007,39181.80078,37850.5,38443.80078,38202.09766,4089
1/14/2016,38349,38531.10156,37890.19922,38179.10156,37939.06641,1903
1/15/2016,38300,38480,37500,37688.10156,37451.15625,2835
1/18/2016,37311,37950,36000,36193.19922,35965.65625,4059
1/19/2016,36225,36800,35540,36362,36133.38672,3452
1/20/2016,36180,36180,34620,35040.19922,34819.89844,7301
1/21/2016,35670,35679.89844,34500.10156,34909.10156,34689.625,4251
1/22/2016,35150.60156,36450,35150.60156,36236.30078,36008.48047,4704
1/25/2016,36600,38198.89844,35516.39844,36125.10156,35897.98828,28052
1/27/2016,36270,36300,35650,35761.10156,35536.27344,6205
1/28/2016,36080,36080,35402,35732.89844,35508.24609,10884
1/29/2016,35700,35990.5,35300,35626.19922,35402.20703,7688
2/1/2016,35700,36100,34015.30078,34313.10156,34097.37891,7872
2/2/2016,34100,35095,34000.10156,34618.80078,34401.14844,7620
2/3/2016,34300,34479.39844,34002,34201.19922,33986.17188,5986
2/4/2016,34540,34798.89844,33475.10156,33725.39844,33513.37109,6707
2/5/2016,33750.19922,34350,33456.10156,34180.39844,33965.51172,4040
2/8/2016,34180.39844,34750,33785.10156,34140.10156,33925.45703,4057
2/9/2016,33900,34100,33600,33656.10156,33444.50781,2474
2/10/2016,34000,34500.69922,33200,33825.39844,33612.73438,12515
2/11/2016,33501.10156,34100,31802.09961,32304.90039,32101.79688,9773
2/12/2016,33199.89844,33199.89844,31183.19922,31811.80078,31611.79297,7938
2/15/2016,32299,33499.39844,32299,33317.60156,33108.13281,5158
2/16/2016,33843,33843.10156,33066,33227.60156,33018.69141,5308
2/17/2016,33499,33597.39844,32601,33342.30078,33132.67188,5692
2/18/2016,33600,33788.69922,33120.19922,33435.10156,33224.89453,3963
2/19/2016,33100,33810,33010,33602,33390.74609,2935
2/22/2016,33600,34087.39844,33425.39844,33729.89844,33517.83984,2621
2/23/2016,33729,34070,33464.60156,33589,33377.82422,3566
2/24/2016,33400.10156,33790,32515.09961,32764.40039,32558.4082,5353
2/25/2016,33074.89844,33074.89844,31834.30078,31977.69922,31776.6543,4969
2/26/2016,32444,32574.5,32100,32371.5,32167.97461,2198
2/29/2016,32597,32787.39844,31800,32547.09961,32342.47266,5158
3/1/2016,33200,34171.19922,32214,33854.89844,33642.05078,4387
3/2/2016,34200,35199.89844,33899.89844,34063.89844,33849.73828,8744
3/3/2016,34600,34600,33912,34066.10156,33851.92578,4991
3/4/2016,34290,34420,33624,34226.69922,34011.51563,3728
3/8/2016,34500,34575,34000,34455.89844,34239.28125,4297
3/9/2016,34640,34640,34090.89844,34405.39844,34189.08594,3377
3/10/2016,34600.10156,34600.10156,34210,34415.60156,34199.22266,3388
3/11/2016,34567,34798.89844,33949.89844,34499.80078,34282.89063,4655
3/14/2016,34600,34760,34334.19922,34601.80078,34384.25781,2592
3/15/2016,34600,34607.60156,33910,34356.39844,34140.39063,6398
3/16/2016,34300,34360,33351.10156,33454.39844,33244.07422,7147
3/17/2016,33990,34100.10156,33500,33936.80078,33723.43359,4815
3/18/2016,33900,34799,33900,34716.89844,34498.63281,7987
3/21/2016,34799,35030.10156,34501.19922,34747.39844,34528.9375,4300
3/22/2016,34654,35298.89844,34450,34810.10156,34591.24609,6170
3/23/2016,34810,35543.89844,34600,35340.39844,35118.20703,8465
3/28/2016,35350.19922,36425,35230.10156,36159.80078,35932.46094,8607
3/29/2016,36149.89844,37110.10156,35750,36915.5,36683.40625,8080
3/30/2016,36990,38200.10156,36720.10156,37912,37673.64453,9671
3/31/2016,38044,39000,37859.89844,38296.80078,38056.01953,14028
4/1/2016,38249.89844,38249.89844,37110.10156,37255.10156,37020.87891,5483
4/4/2016,37700,37700,36730,36844.60156,36612.96094,4163
4/5/2016,36800,37209.10156,35502,35742.10156,35517.38281,7376
4/6/2016,35799.89844,36600,35799.89844,36174.60156,35947.16797,5803
4/7/2016,36300,36532,35600,35791.10156,35566.08594,3568
4/8/2016,35707.39844,36089.89844,35313.80078,35468.19922,35245.21094,5444
4/11/2016,35500.10156,35990,35136.89844,35800.69922,35575.61719,4798
4/12/2016,35870,36649.89844,35870,36269.80078,36041.76172,9784
4/13/2016,36974,37000,36301,36595.80078,36365.73047,11221
4/18/2016,36300,36928,36141,36740,36509.00781,4193
4/20/2016,36850,37198,36700,36816.19922,36584.72656,4642
4/21/2016,36940,37018.89844,35800,36012.80078,35786.38281,5223
4/22/2016,36000,36099,35414.10156,35541.89844,35318.4375,5823
4/25/2016,35500,35809.19922,35150,35404.89844,35182.29688,6137
4/26/2016,35500,35944,35400,35721.10156,35496.52344,3045
4/27/2016,35721,35846.89844,34630,34786.19922,34567.49609,8962
4/28/2016,34990,35135,34000.10156,34113.10156,33898.62891,11105
4/29/2016,34350,34350,33555.39844,33787.80078,33575.37891,10273
5/2/2016,33755,34750,33750,34187,33972.07031,8833
5/3/2016,34500,34944.39844,33201,33434.89844,33224.69141,31798
5/4/2016,33450,34095.60156,33300,33715.10156,33503.13672,9253
5/5/2016,33929.89844,33972.10156,33650,33835.89844,33623.16016,3695
5/6/2016,33880,33880,33400,33742.10156,33529.96484,3867
5/9/2016,33701.19922,33989.89844,33600.10156,33687.10156,33475.30078,5052
5/10/2016,33787,33844,33215,33333.39844,33123.82813,7771
5/11/2016,33290,33296.60156,32669,32848.10156,32641.58594,8083
5/12/2016,32805,33390,32600.09961,33297.39844,33088.05078,9344
5/13/2016,33297,33500,32850,32907.10156,32700.21289,3899
5/16/2016,33000,33156.10156,32610,33031,32823.32422,5103
5/17/2016,33033.30078,33229.89844,32739.30078,32810.19922,32603.91992,3289
5/18/2016,32820,33100,32655,32874.39844,32667.71094,5231
5/19/2016,32800,32930.69922,32400,32579.19922,32374.36914,4674
5/20/2016,32579.19922,32699,31928,32005.80078,31804.57813,5332
5/23/2016,32205,32354.90039,31720,31783.80078,31583.97656,5300
5/24/2016,31790,31850,31002,31164.40039,30968.46484,10561
5/25/2016,31400,32070,31200,31965.40039,31764.42969,6196
5/26/2016,32000,32888,31913.59961,32553.09961,32348.4375,8835
5/27/2016,32700,33725,32652.09961,33542.19922,33331.30859,7921
5/30/2016,33719,33840,33222.10156,33447.89844,33237.61719,2884
5/31/2016,33575.89844,33999.89844,33301.10156,33774.39844,33562.05078,5849
6/1/2016,33700,33879,33200,33341.89844,33132.26953,2861
6/2/2016,33305,33593,33101,33425.60156,33215.44922,3930
6/3/2016,33679.89844,33679.89844,33290,33427.60156,33217.4375,3984
6/6/2016,33500,33551.5,33150,33262.39844,33053.27734,1426
6/7/2016,33400,33456.69922,32790,33013.5,32805.9375,3400
6/8/2016,33319.89844,33319.89844,32523,32612.19922,32407.16406,5160
6/9/2016,32700,32799.89844,32500,32546.40039,32341.77734,2255
6/10/2016,32550,32640,32085,32197.09961,31994.67188,4481
6/13/2016,32000,32192.90039,31901.69922,31982.69922,31781.62305,3867
6/14/2016,32000,32300,31890,31923.19922,31722.49023,3641
6/15/2016,31985,32200,31550.59961,31663.69922,31464.62695,5612
6/16/2016,31750,31825,31517,31595.19922,31396.55469,5178
6/17/2016,31750,31848,31251.09961,31332.19922,31135.21094,5243
6/20/2016,31330,32350,31021,32246.90039,32044.1582,9127
6/21/2016,32378,32424,31702,31844.90039,31644.6875,3800
6/22/2016,31874.80078,32150.90039,31500,31718.80078,31519.38477,4146
6/23/2016,31740,31844.90039,31500,31676.90039,31477.74609,4284
6/24/2016,31499,31500,30101,31317.19922,31120.30859,5841
6/27/2016,31340,31977.90039,31144.19922,31870.90039,31670.52734,2856
6/28/2016,32200,33150,31900,32941.89844,32734.79688,8766
6/29/2016,33298,33673.60156,32900,33519.19922,33308.46484,15103
6/30/2016,33740,33740,32850.89844,33077.60156,32869.63672,15793
7/1/2016,33077.60156,33900,33050,33656.60156,33445.00391,7303
7/4/2016,33699,35229,33699,35146.60156,34925.62891,15055
7/5/2016,35000.10156,35199.89844,34501,34746.19922,34527.74219,10171
7/7/2016,34944.89844,35400,34826.39844,35231.19922,35009.69531,7606
7/8/2016,35231,35470,35000,35391.10156,35168.59766,6312
7/11/2016,35502.69922,35840.10156,35190.89844,35292.80078,35070.91016,4305
7/12/2016,35350,35680,35174,35238.19922,35016.64844,5404
7/13/2016,35370,35499.89844,34300,34490.10156,34273.25781,7764
7/14/2016,34510,34990,34092.5,34567.30078,34349.96875,5128
7/15/2016,34650,34828,34140,34221.89844,34006.74219,3995
7/18/2016,34350,34700,34154.19922,34599.10156,34381.57422,8115
7/19/2016,34599,34940,34352.10156,34829.5,34610.52344,3656
7/20/2016,35000,35374.80078,34810.10156,35317.60156,35095.55859,3785
7/21/2016,35317.60156,35425,34111,34389.30078,34173.09766,5538
7/22/2016,34689.80078,34689.80078,34052.10156,34153.60156,33938.875,5259
7/25/2016,34425,35084.10156,34220.10156,34668.10156,34450.14063,6166
7/26/2016,34898.89844,34923.89844,33628,33862.5,33649.60938,4821
7/27/2016,33990,34400,33738.89844,34026.10156,33812.17188,4308
7/28/2016,34250,34422.19922,33900,34053.89844,33839.80078,3769
7/29/2016,34088.10156,34088.10156,33700,33844.10156,33631.3125,4274
8/1/2016,33960,34449,33650,33799.10156,33586.60547,9334
8/2/2016,33751,34189.19922,33750.89844,33922.39844,33709.12109,9366
8/3/2016,34001,34935,33760,34605.89844,34483.88281,10148
8/4/2016,34935,35560,34550.10156,35315.39844,35190.875,8309
8/5/2016,35325.5,37490,35325.5,37068.19922,36937.5,28926
8/8/2016,37340,37540,36921.39844,37092.39844,36961.62109,8740
8/9/2016,37092.39844,37250,36001,36902.39844,36772.28125,8284
8/10/2016,37000,37099.89844,36001.10156,36716.89844,36587.42969,9823
8/11/2016,36410,37300,36000,36660.80078,36531.54297,14507
8/12/2016,36210,36871.89844,35999.69922,36129.19922,36001.8125,7954
8/16/2016,36000,36490.5,36000,36126.30078,35998.92969,4491
8/17/2016,36015,36907.5,36015,36525.10156,36396.31641,5045
8/18/2016,36526.80078,36827.89844,36306,36553.89844,36425.00781,6253
8/19/2016,36553,36800,36012,36110.10156,35982.78125,5577
8/22/2016,36299,36299.89844,35299.89844,35485.60156,35360.48828,6810
8/23/2016,35485.60156,35849.89844,35323.30078,35744.19922,35618.17188,8437
8/24/2016,35770,36490,35700,36300.30078,36172.30859,10758
8/25/2016,36303,36800,36200,36458.89844,36330.34766,10211
8/26/2016,36500,36863.39844,36212,36339.69922,36211.57031,8695
8/29/2016,36400,37590.10156,36400,37471.60156,37339.48438,15241
8/30/2016,37390,38087.89844,37288.19922,37591.39844,37458.85547,13204
8/31/2016,37988.89844,37988.89844,37310.60156,37431.80078,37299.81641,6960
9/1/2016,37750,37850,37099.5,37231.89844,37100.62109,5262
