Date,Open,High,Low,Close,Adj Close,Volume
2019-11-28,63200.000000,64298.898438,62812.000000,63982.601563,63979.910156,4581
2019-11-29,63855.101563,64116.199219,63200.101563,63397.101563,63394.433594,2797
2019-12-02,63397.101563,63597.500000,62550.000000,62723.101563,62720.460938,4456
2019-12-03,62879.101563,63044.199219,61931.398438,62061.699219,62059.085938,4973
2019-12-04,62061.699219,62555.101563,61550.000000,62092.101563,62089.488281,4926
2019-12-05,62380.000000,62597.898438,61575.101563,61760.199219,61757.601563,7439
2019-12-06,62187.898438,62750.000000,61253.398438,61533.199219,61530.609375,6126
2019-12-09,61366.000000,63097.101563,61252.000000,62490.398438,62487.769531,3917
2019-12-10,62400.000000,62458.898438,61525.101563,62070.101563,62067.488281,3345
2019-12-11,62300.000000,62348.898438,61603.300781,62050.199219,62047.589844,2791
2019-12-12,62100.000000,62950.000000,62061.898438,62692.101563,62689.464844,2718
2019-12-13,62800.000000,64100.000000,62800.000000,63926.398438,63923.707031,4829
2019-12-16,63600.000000,64850.000000,63600.000000,64254.199219,64251.496094,5929
2019-12-17,64254.000000,64999.601563,63879.000000,64703.800781,64701.078125,3451
2019-12-18,64603.101563,64929.898438,64000.000000,64126.898438,64124.199219,8346
2019-12-19,64250.000000,64376.500000,63728.101563,64080.101563,64077.406250,3274
2019-12-20,64080.101563,64387.898438,63457.898438,63765.199219,63762.515625,4087
2019-12-23,63600.000000,63900.000000,63387.601563,63680.898438,63678.218750,3576
2019-12-24,63616.000000,63900.000000,63449.898438,63611.800781,63609.125000,2205
2019-12-26,63612.000000,63750.000000,62796.398438,63141.800781,63139.144531,3506
2019-12-27,63299.601563,66599.796875,63202.101563,65639.500000,65636.734375,8889
2019-12-30,65999.000000,66990.000000,65500.000000,66252.398438,66249.609375,9010
2019-12-31,65995.703125,66579.000000,65792.000000,66330.296875,66327.507813,6007
2020-01-01,66199.000000,66944.000000,66100.000000,66709.000000,66706.195313,4235
2020-01-02,66709.000000,67716.000000,66266.000000,67302.500000,67299.664063,6603
2020-01-03,67400.000000,67466.601563,66250.000000,66583.500000,66580.695313,5527
2020-01-06,66012.296875,66176.898438,65120.101563,65508.898438,65506.140625,10446
2020-01-07,65749.000000,66515.000000,65100.000000,65334.101563,65331.351563,10835
2020-01-08,64800.000000,65237.898438,64300.000000,64871.601563,64868.871094,7222
2020-01-09,65800.000000,67150.000000,65520.800781,66917.703125,66914.890625,9491
2020-01-10,66725.000000,68100.000000,66329.500000,67493.601563,67490.757813,9439
2020-01-13,67492.000000,67900.000000,66750.000000,67016.703125,67013.882813,5981
2020-01-14,66701.000000,67500.000000,66452.000000,66696.101563,66693.296875,8147
2020-01-15,66798.000000,66918.601563,65819.500000,66271.703125,66268.914063,7937
2020-01-16,66499.000000,67150.000000,65897.000000,67059.398438,67056.578125,9044
2020-01-17,67460.000000,70000.000000,67140.000000,69312.898438,69309.984375,22381
2020-01-20,69060.000000,70220.203125,68244.000000,68510.796875,68507.914063,9587
2020-01-21,68400.000000,68550.000000,67586.898438,67930.101563,67927.242188,3847
2020-01-22,68459.000000,68800.000000,67521.101563,67851.101563,67848.250000,4575
2020-01-23,68500.000000,70000.000000,68140.000000,69878.601563,69875.664063,9651
2020-01-24,69611.000000,70825.601563,69500.000000,70407.398438,70404.437500,8680
2020-01-27,70290.000000,70600.000000,69781.000000,70309.398438,70306.437500,7624
2020-01-28,70585.000000,71000.000000,69342.000000,69864.703125,69861.765625,5883
2020-01-29,70090.000000,70600.000000,70000.000000,70372.500000,70369.539063,4712
2020-01-30,70539.000000,70600.000000,69501.000000,69818.601563,69815.664063,6362
2020-01-31,69849.000000,70600.000000,69318.203125,69674.796875,69671.867188,4805
2020-02-03,68690.000000,69888.000000,68000.000000,69462.601563,69459.679688,6669
2020-02-04,69650.000000,71899.000000,69650.000000,71680.101563,71677.085938,12327
2020-02-05,71680.101563,73565.703125,71680.101563,72390.796875,72387.750000,10788
2020-02-06,72599.000000,73100.000000,71260.000000,71636.398438,71633.382813,5926
2020-02-07,71899.000000,71900.000000,70371.203125,70960.500000,70957.515625,5974
2020-02-10,71490.000000,73500.000000,69800.000000,73247.898438,73244.812500,29310
2020-02-11,73200.000000,73500.000000,71111.000000,71381.703125,71378.703125,13405
2020-02-12,71755.000000,72809.296875,71400.000000,71676.000000,71672.984375,5903
2020-02-13,71967.000000,71967.000000,70901.101563,71525.101563,71522.093750,5184
2020-02-14,71800.000000,72519.203125,71100.000000,71799.203125,71796.179688,7017
2020-02-17,71800.000000,72333.000000,71200.000000,71299.796875,71296.796875,3950
2020-02-18,71500.000000,71500.000000,69525.000000,69693.601563,69693.601563,9604
2020-02-19,70290.000000,70437.101563,69500.000000,69959.296875,69959.296875,5731
2020-02-20,69959.296875,71232.601563,69751.101563,70789.500000,70789.500000,8466
2020-02-24,70888.000000,70888.000000,68500.101563,68874.703125,68874.703125,4295
2020-02-25,69100.000000,69798.898438,68500.000000,69133.500000,69133.500000,6211
2020-02-26,69134.000000,69404.000000,67850.000000,68140.000000,68140.000000,5155
2020-02-27,68180.000000,68340.000000,66730.703125,67559.500000,67559.500000,6856
2020-02-28,66400.000000,67296.601563,65315.000000,66393.203125,66393.203125,11768
2020-03-02,66891.000000,67595.898438,65551.000000,65976.296875,65976.296875,6419
2020-03-03,66799.000000,68558.398438,65600.000000,67740.703125,67740.703125,8202
2020-03-04,67270.000000,67698.796875,66100.000000,67053.398438,67053.398438,8187
2020-03-05,67300.000000,68169.898438,66809.500000,67325.101563,67325.101563,5745
2020-03-06,66389.000000,66500.203125,63858.601563,66348.101563,66348.101563,9851
2020-03-09,65800.000000,65800.000000,63052.398438,64261.898438,64261.898438,9596
2020-03-11,64200.000000,65687.296875,62703.000000,63589.898438,63589.898438,15621
2020-03-12,62001.000000,62888.199219,58000.000000,60555.199219,60555.199219,17336
2020-03-13,56030.000000,66300.000000,56030.000000,65929.398438,65929.398438,15213
2020-03-16,62000.000000,63899.898438,60309.101563,61295.101563,61295.101563,11325
2020-03-17,61295.101563,63749.800781,60350.101563,62140.699219,62140.699219,14677
2020-03-18,62899.898438,63395.101563,59200.000000,59921.101563,59921.101563,12224
2020-03-19,58950.000000,59870.000000,56950.500000,57803.800781,57803.800781,18081
2020-03-20,58199.898438,61111.101563,57534.699219,58988.898438,58988.898438,12332
2020-03-23,55905.000000,56998.898438,51500.000000,51970.199219,51970.199219,20514
2020-03-24,55000.000000,55000.000000,49915.101563,52597.699219,52597.699219,15772
2020-03-25,50155.601563,57700.000000,50155.601563,56579.199219,56579.199219,16480
2020-03-26,56600.000000,60742.601563,54900.000000,55343.800781,55343.800781,16474
2020-03-27,57940.000000,58200.000000,53620.000000,56371.199219,56371.199219,15883
2020-03-30,54700.000000,55270.000000,53522.898438,54375.699219,54375.699219,39105
2020-03-31,54600.000000,59312.000000,54121.101563,58164.398438,58164.398438,25755
2020-04-01,57900.000000,57900.000000,54675.398438,55108.898438,55108.898438,20661
2020-04-03,55600.000000,56200.000000,54500.000000,55062.199219,55062.199219,33126
2020-04-07,56500.000000,58088.000000,56055.101563,57701.101563,57701.101563,18689
2020-04-08,56600.000000,59500.000000,56300.000000,57172.800781,57172.800781,15231
2020-04-09,58599.000000,60460.101563,57700.199219,60017.898438,60017.898438,17979
2020-04-13,59500.000000,59831.398438,57101.000000,57399.199219,57399.199219,13752
2020-04-15,58500.000000,58500.000000,56760.000000,57417.800781,57417.800781,17187
2020-04-16,57390.000000,62000.000000,57012.101563,60441.898438,60441.898438,22062
2020-04-17,61541.898438,62340.000000,61000.000000,61638.300781,61638.300781,15847
2020-04-20,62000.000000,62000.000000,61150.000000,61384.000000,61384.000000,9847
2020-04-21,60500.000000,60793.601563,58500.699219,58864.800781,58864.800781,12668
2020-04-22,58875.000000,59489.898438,57829.000000,58221.898438,58221.898438,14951
2020-04-23,58547.000000,59341.898438,58500.000000,58712.398438,58712.398438,8688
2020-04-24,58225.000000,59200.000000,58000.000000,58805.398438,58805.398438,8119
2020-04-27,59700.000000,60290.000000,58805.398438,59206.601563,59206.601563,7821
2020-04-28,59800.000000,59800.000000,58550.000000,59075.699219,59075.699219,6233
